
---------------------
Friction testing.
35%
---------------------
26394106 0

---------------------
Friction testing.
35%
---------------------
13146181 -5
13177786 -4
13191280 -3
13200524 -2
13209782 -1
13216446 0
13225434 1
13232110 2
13236522 3
13243352 4
13249955 5
13254403 6
13259020 7
13263736 8
13270346 9
13272848 10
13277837 11
13282729 12
13287398 13
13292074 14
13296851 15
13299308 16
13304327 17
13306816 18
13311429 19
13313914 20
13318843 21
13321208 22
13326252 23
13328907 24
13332730 25
13335141 26
13340028 27
13342441 28
13345037 29
13350000 30
13352464 31
13354877 32
13359853 33
13362299 34
13364824 35
13367169 36
13372078 37
13374572 38
13377181 39
13379809 40
13382226 41
13384769 42
13387277 43
13389809 44
13394690 45
13397089 46
13399433 47
13401992 48
13404859 49
13407257 50
13409798 51
13412476 52
13415476 53
13418139 55
13420951 56
13423522 57
13425968 58
13428359 59
13430846 60
13433204 61
13435711 62
13438635 63
13441584 64
13444531 66
13446988 67
13449357 68
13451815 69
13454423 70
13456860 71
13459769 72
13462708 74
13465575 75
13467995 76
13470805 78
13473289 79
13475690 80
13478036 81
13480474 82
13482958 83
13485267 84
13487738 86
13490129 87
13492730 88
13495257 89
13497729 91
13500135 92
13503793 94
13506241 95
13508922 96
13511331 97
13513736 99
13516276 100
13518777 101
13521379 103
13523943 104
13526443 105
13529027 107
13531661 108
13534182 110
13536804 111
13539398 112
13542145 114
13544710 115
13547249 117
13549817 118
13552306 120
13554760 121
13557319 123
13559849 124
13562385 126
13565111 127
13567874 129
13570445 130
13572997 132
13575692 133
13578166 135
13580661 136
13583284 138
13585820 140
13588416 141
13591003 143
13593781 144
13596343 146
13598865 148
13601407 149
13604011 151
13606746 153
13609335 155
13611957 156
13614621 158
13617195 160
13619785 162
13622452 163
13625122 165
13627837 167
13630638 169
13633190 171
13635700 173
13638315 174
13640957 176
13643721 178
13646217 180
13648808 182
13651369 184
13653879 186
13656628 188
13659198 190
13661674 191
13664209 193
13666788 195
13669431 197
13672121 199
13674772 201
13677261 203
13679807 205
13682545 207
13685181 209
13687947 212
13690768 214
13693234 216
13695855 218
13698392 220
13700933 222
13703618 224
13706140 226
13708683 228
13711227 231
13713778 233
13716318 235
13718865 237
13721575 239
13724181 242
13726698 244
13729309 246
13732019 248
13734753 251
13737545 253
13740189 255
13742896 258
13745684 260
13748206 262
13750752 265
13753390 267
13755932 269
13758799 272
13761330 274
13763895 277
13766512 279
13769106 281
13771637 284
13774188 286
13776727 289
13779189 291
13781588 293
13783975 296
13786762 298
13789538 301
13792171 303
13794727 306
13797205 308
13799758 311
13802438 314
13804933 316
13807627 319
13810241 321
13812714 324
13815257 326
13817817 329
13820457 332
13823092 335
13825653 337
13828207 340
13830707 343
13833240 345
13835760 348
13838481 351
13841100 353
13843559 356
13846124 359
13848658 361
13851211 364
13853817 367
13856502 370
13859044 373
13861580 376
13864109 378
13866633 381
13869437 384
13872130 387
13874702 390
13877230 393
13879687 395
13882418 398
13885023 401
13887555 404
13890133 407
13892663 410
13895226 413
13897775 416
13900327 418
13902769 421
13905402 424
13907945 427
13910438 430
13913000 433
13915840 437
13918418 439
13921099 443
13923726 446
13926379 449
13928971 452
13931476 455
13934013 458
13936665 461
13939197 464
13941765 468
13944411 470
13946896 474
13949469 477
13951968 480
13954413 483
13957227 486
13959941 489
13962560 493
13965114 496
13967605 499
13970357 502
13972968 505
13975419 508
13977959 511
13980562 515
13983060 518
13985691 521
13988332 524
13990954 528
13993464 531
13995955 534
13998512 537
14001219 541
14003872 544
14006367 547
14008957 551
14011378 554
14013777 557
14016304 560
14018944 564
14021491 567
14024053 571
14026566 574
14029167 577
14031574 580
14034279 584
14036730 588
14039436 591
14042010 594
14044718 598
14047433 602
14049969 605
14052536 609
14055081 612
14057610 616
14060231 619
14062643 623
14065310 626
14067752 630
14070411 633
14072936 637
14075406 640
14077931 644
14080526 647
14082997 651
14085373 654
14087887 658
14090478 661
14093305 665
14095748 669
14098315 672
14100847 676
14103485 680
14106012 685
14108494 688
14111324 692
14113769 696
14116314 699
14118814 703
14121470 707
14123959 711
14126493 714
14129299 719
14131900 722
14134463 726
14137228 730
14139754 734
14142269 738
14144874 742
14147331 745
14149950 750
14152531 753
14155215 757
14157747 761
14160259 765
14162813 769
14165302 773
14167666 777
14170328 781
14172941 785
14175678 789
14178292 793
14180766 797
14183350 801
14185930 805
14188550 809
14191245 813
14193676 817
14196257 821
14198807 825
14201315 829
14203899 833
14206496 837
14209184 842
14211681 846
14214358 850
14217031 855
14219474 858
14222199 863
14224799 867
14227320 871
14229838 876
14232479 880
14234968 884
14237561 889
14240252 893
14242762 897
14245373 901
14247785 905
14250184 909
14252940 914
14255583 918
14258263 923
14260726 927
14263255 931
14265893 935
14268388 940
14271165 944
14273716 949
14276190 953
14278764 957
14281222 961
14283630 966
14286208 970
14288753 974
14291368 979
14294019 983
14296578 988
14299302 992
14301850 997
14304414 1001
14307234 1006
14309849 1010
14312532 1015
14315413 1020
14318140 1024
14320930 1029
14323577 1034
14326304 1039
14329154 1043
14331835 1048
14334507 1053
14337431 1058
14340138 1063
14342754 1067
14345432 1072
14348062 1077
14350704 1081
14353469 1086
14356383 1091
14359097 1096
14361826 1101
14364414 1105
14367051 1110
14369697 1115
14372287 1119
14375232 1125
14378179 1130
14380731 1134
14383456 1139
14386366 1144
14389183 1149
14391887 1154
14394535 1159
14397252 1164
14400048 1169
14402654 1173
14405376 1178
14408108 1183
14410757 1188
14413339 1193
14416309 1199
14419038 1203
14421740 1209
14424448 1214
14427338 1219
14430064 1224
14432721 1229
14435386 1234
14438233 1239
14441113 1245
14443689 1250
14446223 1255
14449070 1260
14451666 1265
14454283 1270
14457194 1275
14460082 1281
14462757 1286
14465430 1291
14468153 1296
14471084 1302
14473836 1307
14476468 1313
14479223 1318
14482008 1324
14484652 1329
14487439 1335
14490246 1340
14493045 1346
14495789 1351
14498645 1357
14501323 1362
14504032 1368
14506746 1373
14509424 1379
14512129 1384
14515018 1390
14517783 1396
14520583 1401
14523414 1408
14526299 1413
14529025 1419
14531597 1424
14534186 1429
14537137 1435
14540019 1441
14542753 1447
14545382 1453
14548137 1458
14550960 1464
14553743 1470
14556469 1476
14559100 1482
14561704 1487
14564409 1493
14567132 1499
14569946 1505
14572555 1510
14575316 1516
14578288 1523
14581253 1528
14583903 1534
14586670 1540
14589429 1546
14592280 1552
14594942 1558
14597673 1564
14600374 1570
14603140 1576
14605932 1582
14608597 1588
14611316 1594
14614113 1600
14616949 1606
14619688 1612
14623169 1620
14625951 1626
14628547 1632
14631244 1638
14633962 1644
14636953 1650
14639693 1656
14642363 1663
14645197 1669
14648154 1675
14650893 1681
14653490 1688
14656247 1695
14659176 1701
14661881 1707
14664609 1714
14667255 1720
14670020 1726
14672926 1733
14675532 1739
14678059 1745
14680657 1751
14683382 1757
14686049 1763
14688681 1769
14691414 1776
14694026 1782
14696853 1788
14699473 1794
14702185 1801
14705044 1807
14707892 1814
14710640 1821
14713277 1827
14716170 1834
14718811 1840
14721661 1847
14724300 1854
14726953 1860
14729539 1866
14732296 1873
14734986 1879
14737826 1886
14740621 1893
14743307 1899
14745937 1906
14748492 1912
14751215 1919
14754013 1925
14756827 1932
14759603 1939
14762369 1946
14765043 1953
14767801 1959
14770499 1966
14773237 1973
14776035 1980
14778777 1987
14781969 1995
14784753 2002
14787455 2008
14790310 2015
14793187 2022
14796091 2029
14798768 2036
14801472 2043
14804231 2050
14806938 2056
14809744 2063
14812337 2070
14815061 2076
14817762 2083
14820365 2090
14823088 2096
14825817 2103
14828483 2110
14831168 2117
14833929 2123
14837054 2131
14839809 2138
14842503 2145
14845253 2152
14847988 2158
14850729 2165
14853441 2172
14856260 2179
14859121 2187
14861921 2194
14864736 2201
14867329 2207
14870091 2215
14873002 2222
14875774 2229
14878536 2236
14881261 2243
14883930 2250
14886774 2257
14889443 2264
14892168 2271
14894989 2279
14897713 2286
14900442 2293
14903189 2300
14905910 2307
14908697 2314
14911284 2321
14913996 2328
14916716 2336
14919446 2343
14922268 2351
14925002 2358
14927705 2365
14930300 2372
14933053 2380
14935898 2387
14938787 2395
14941652 2403
14944401 2410
14947124 2418
14949827 2425
14952635 2432
14955305 2440
14957981 2447
14960692 2454
14963501 2462
14966173 2470
14968831 2477
14971695 2485
14974456 2493
14977141 2500
14979887 2508
14982615 2515
14985344 2523
14988061 2531
14990945 2538
14993633 2546
14996317 2553
14998990 2561
15001609 2568
15004523 2576
15007279 2584
15009906 2591
15012644 2599
15015385 2607
15018021 2615
15020842 2623
15023640 2631
15026415 2638
15029183 2646
15031817 2654
15034549 2662
15037224 2669
15039992 2677
15042858 2686
15045627 2693
15048359 2701
15051068 2709
15053887 2717
15056621 2725
15059314 2733
15062047 2741
15064913 2749
15067595 2757
15070383 2765
15073183 2773
15075804 2781
15078539 2789
15081186 2796
15083863 2804
15086567 2812
15089394 2821
15092112 2829
15094751 2837
15097579 2845
15100158 2853
15102758 2861
15105677 2870
15108410 2878
15111057 2886
15113807 2894
15116519 2902
15119211 2910
15121980 2919
15124844 2927
15127636 2936
15130270 2944
15133004 2952
15135839 2960
15138658 2969
15141315 2977
15143967 2986
15146687 2994
15149528 3003
15152151 3010
15154922 3019
15157788 3028
15160482 3036
15163140 3044
15165887 3053
15168570 3061
15171340 3069
15174214 3078
15177017 3087
15179776 3095
15182495 3104
15185222 3112
15187996 3121
15190714 3129
15193501 3137
15196192 3146
15198785 3154
15201510 3162
15204269 3170
15206991 3179
15209855 3188
15212818 3197
15215528 3205
15218142 3213
15220983 3222
15223799 3231
15226503 3239
15229236 3248
15231971 3257
15234645 3265
15237513 3274
15240227 3282
15242972 3291
15245676 3299
15248547 3308
15251416 3317
15254206 3326
15257025 3335
15259772 3344
15262532 3353
15265185 3361
15267890 3371
15270716 3379
15273496 3388
15276206 3397
15278916 3406
15281586 3415
15284179 3423
