
---------------------<built-in method now of type object at 0x7deef8>Receiving command
Received g
Receiving command
Received s
Receiving command
Received r
To Jetson
5, 1
10, 7
20, 8
25, 21
30, 38
42, 39
47, 60
52, 67
61, 68
66, 91
71, 102
80, 103
85, 118
90, 132
99, 131
104, 147
109, 164
114, 163
119, 164
125, 184
130, 198
136, 197
141, 202
146, 229
152, 228
157, 232
162, 238
167, 257
172, 261
179, 262
184, 286
189, 299
194, 298
199, 301
204, 329
210, 338
218, 339
223, 362
228, 376
233, 375
238, 377
243, 403
248, 413
253, 412
258, 414
263, 436
268, 445
276, 446
281, 465
286, 480
296, 481
301, 499
306, 514
311, 515
316, 516
321, 536
326, 547
335, 548
340, 563
345, 583
350, 585
355, 586
360, 595
365, 610
375, 611
381, 636
386, 646
394, 647
399, 666
404, 685
413, 686
418, 706
423, 723
428, 725
433, 726
438, 744
443, 763
448, 764
453, 765
458, 785
463, 799
473, 800
478, 820
483, 835
492, 836
497, 855
502, 870
507, 871
513, 872
518, 894
523, 905
531, 906
536, 923
541, 942
546, 944
552, 945
557, 956
562, 970
571, 971
576, 991
581, 1006
590, 1007
595, 1021
600, 1045
605, 1046
610, 1047
615, 1068
620, 1085
625, 1086
630, 1087
635, 1112
640, 1123
645, 1124
650, 1125
655, 1147
660, 1158
669, 1159
674, 1181
679, 1194
688, 1195
693, 1210
698, 1229
703, 1230
708, 1231
713, 1249
718, 1264
723, 1263
728, 1264
733, 1283
738, 1300
743, 1301
748, 1302
753, 1314

---------------------<built-in method now of type object at 0x7deef8>Receiving command
Received g

---------------------<built-in method now of type object at 0x7deef8>Receiving command
Received g
Receiving command
Received s
Receiving command
Received r
To Jetson
5, 0
10, 4
18, 3
23, 6
28, 18
33, 21
42, 22
47, 45
52, 56
58, 55
63, 62
68, 86
73, 89
78, 90
83, 100
88, 121
93, 125
100, 126
105, 148
110, 162
119, 163
124, 184
129, 197
134, 198
139, 199
144, 215
149, 229
154, 230
159, 231
164, 254
170, 264
179, 265
184, 287
189, 298
194, 299
199, 300
204, 324
209, 330
214, 331
219, 332
224, 357
229, 367
237, 368
242, 378
247, 392
258, 393
263, 417
268, 428
276, 429
281, 447
286, 465
295, 466
300, 478
305, 503
310, 506
316, 507
321, 528
326, 542
335, 543
341, 563
346, 575
356, 576
361, 602
366, 613
374, 614
379, 630
384, 643
389, 644
395, 645
400, 667
405, 678
414, 679
419, 700
424, 712
434, 713
439, 733
444, 738
454, 739
459, 762
464, 773
470, 774
475, 777
480, 804
485, 810
490, 811
495, 818
500, 844
505, 848
512, 849
517, 868
522, 886
527, 887
532, 888
537, 910
542, 922
550, 923
555, 931
560, 952
565, 955
571, 956
576, 976
581, 990
587, 989
592, 994
597, 1014
602, 1025
611, 1026
616, 1047
621, 1057
630, 1058
635, 1081
640, 1095
645, 1096
651, 1097
656, 1112
661, 1120
669, 1121
674, 1142
679, 1156
688, 1157
693, 1172
698, 1195
703, 1196
708, 1197
713, 1216
718, 1234
725, 1235
730, 1237
735, 1265
740, 1273
748, 1274
753, 1296
758, 1307
766, 1308
771, 1318
776, 1341
781, 1343
787, 1344
792, 1365
797, 1378
806,
---------------------<built-in method now of type object at 0x7deef8>Receiving command
Received g

---------------------<built-in method now of type object at 0x7deef8>Receiving command
Received g

---------------------<built-in method now of type object at 0x7deef8>Receiving command
Received g
Receiving command
Received s
Receiving command
Received r
To Jetson
5, 0
10, 3
15, 13
20, 12
25, 13
30, 28
35, 45
41, 46
